CELLID,U_RRC_SETUP_SUCCESS_RATIO_DEN_NONE,U_RRC_SETUP_SUCCESS_RATIO_NUM_NONE,U_CS_RAB_SETUP_SUCCESS_RATIO_CELL_DEN_NUMBER,U_CS_RAB_SETUP_SUCCESS_RATIO_CELL_NUM_NUMBER,U_PS_RAB_SETUP_SUCCESS_RATIOD_DEN_NUMBER,U_PS_RAB_SETUP_SUCCESS_RATIO_NUM_NUMBER,U_VS_HSDPA_MEANCHTHROUGHPUT_KBPS,U_VS_HSDPA_MEANCHTHROUGHPUT_TOTALBYTES_MB,U_VS_HSDPA_64QAM_UE_MEAN_CELL_NONE,U_VS_HSDPA_UE_MAX_CELL_NONE,U_VS_HSDPA_UE_MEAN_CELL_NONE,U_VS_HSUPA_MEANCHTHROUGHPUT_KBPS,U_VS_HSUPA_MEANCHTHROUGHPUT_TOTALBYTES_MB,U_VS_HSUPA_16QAM_UE_MEAN_CELL_NONE,U_VS_HSUPA_UE_MAX_CELL_NONE,U_VS_HSUPA_UE_MEAN_CELL_NONE,U_VS_HSUPA_UE_MEAN_TTI2MS,U_TRAFICO_CS_ERLANG_ERL,U_CS_RAB_CONGESTION_RATIO_NUM_NONE,U_CS_RAB_CONGESTION_RATIO_DEN_NONE,U_RRC_CONGESTION_RATIONUM_NUMBER,U_RRC_CONGESTION_RATIODEN_NUMBER,U_PS_RAB_CONGESTION_RATIO_DEN_NONE,U_PS_RAB_CONGESTION_RATIO_NUM_NONE,U_VS_CELL_UNAVAILTIME_SYS_S,IA_CS_UMTS_OPT_RF_NUM,IA_CS_UMTS_OPT_RF_DEN,IA_PS_UMTS_OPT_RF_DEN,IA_PS_UMTS_OPT_RF_NUM,G_CS_SERVICE_DROP_RATIO_DEN_NONE,G_CS_SERVICE_DROP_RATIO_NUM_NONE,G_PS_CALL_DROP_RATIO_DEN_NONE,G_PS_CALL_DROP_RATIO_NUM_NONE,PS_CALL_DROP_RATIO2_DEN_NONE,PS_CALL_DROP_RATIO2_NUM_NONE,NUMERO_DE_USUARIOS_PH_OPTRF_NONE,HSDPA_THROUGHPUT_DEN_NONE,HSDPA_THROUGHPUT_NUM_NONE
42529,1074.0,1010.0,91.0,91.0,647.0,640.0,235.017,182473131.0,41.331,58.0,42.419,21.818,44456320.0,0.0,26.0,19.686,0.0,1.817,0.0,91.0,0.0,1651.0,647.0,0.0,84.0,0.0,7007.0,447724.0,18924.0,92.0,3.0,759.0,124.0,3495.0,133.0,110.185,2963923.0,1610570860.0
42531,97.0,91.0,18.0,18.0,83.0,83.0,1497.862,424537200.0,0.0,17.0,8.353,53.102,40977620.0,0.0,17.0,8.425,0.0,0.483,0.0,18.0,0.0,179.0,83.0,0.0,0.0,0.0,216.0,4565.0,83.0,21.0,0.0,62.0,20.0,1540.0,20.0,21.637,1318227.0,3785778091.0
42532,148.0,145.0,24.0,24.0,127.0,127.0,1344.282,344547920.0,0.0,15.0,7.689,68.435,46896500.0,0.0,15.0,7.889,0.0,1.017,0.0,24.0,0.0,226.0,127.0,0.0,0.0,0.0,432.0,13208.0,127.0,23.0,2.0,98.0,33.0,1298.0,34.0,20.206,1440540.0,4804479552.0
42533,422.0,407.0,55.0,55.0,329.0,328.0,857.511,539369300.0,0.0,33.0,20.889,43.171,60511220.0,0.0,20.0,18.125,0.0,1.483,0.0,55.0,0.0,614.0,329.0,0.0,0.0,110.0,1870.0,92778.0,3234.0,57.0,0.0,290.0,98.0,3545.0,104.0,55.617000000000004,3174277.0,5810329634.0
42534,147.0,138.0,31.0,31.0,117.0,117.0,1610.813,360350964.0,0.0,15.0,7.667,57.134,39073840.0,0.0,15.0,7.769,0.0,1.767,0.0,31.0,0.0,272.0,117.0,0.0,0.0,0.0,713.0,10179.0,117.0,30.0,0.0,148.0,10.0,1321.0,8.0,22.633,658779.0,3162594633.0
42535,168.0,160.0,29.0,29.0,159.0,158.0,1500.676,245069727.0,0.0,14.0,5.383,57.534,28463500.0,0.0,14.0,5.814,0.0,0.783,0.0,29.0,2.0,308.0,159.0,0.0,0.0,58.0,522.0,19398.0,122.0,30.0,3.0,184.0,19.0,1967.0,21.0,20.113,728178.0,2807039392.0
42536,469.0,452.0,54.0,54.0,372.0,369.0,358.316,412379052.0,0.0,34.0,16.717,42.325,66800400.0,0.0,20.0,15.828,0.0,1.783,0.0,54.0,4.0,803.0,372.0,0.0,0.0,0.0,1566.0,126852.0,5082.0,52.0,1.0,413.0,43.0,3217.0,42.0,52.303,3926765.0,3511337777.0
42537,114.0,112.0,11.0,11.0,79.0,79.0,1862.124,717755600.0,0.0,15.0,8.356,81.56,70974140.0,0.0,15.0,8.542,0.0,0.55,0.0,11.0,1.0,167.0,79.0,0.0,0.0,0.0,110.0,4819.0,0.0,10.0,0.0,67.0,22.0,1027.0,22.0,20.323,1021123.0,5200499251.0
42538,88.0,85.0,20.0,20.0,55.0,54.0,1540.687,408443720.0,0.0,13.0,6.514,60.471,41402240.0,0.0,14.0,6.736,0.0,0.7,0.0,20.0,1.0,114.0,55.0,0.0,0.0,0.0,220.0,2970.0,108.0,21.0,1.0,53.0,14.0,930.0,19.0,16.692,590462.0,1574847099.0
42539,258.0,248.0,48.0,48.0,194.0,191.0,429.262,698741400.0,0.0,40.0,24.447,40.351,84543620.0,0.0,20.0,19.072,0.0,2.667,0.0,48.0,3.0,390.0,194.0,0.0,0.0,0.0,1296.0,33562.0,2238.0,47.0,4.0,169.0,36.0,2610.0,41.0,59.069,7788157.0,6024493373.0
