CELLID,DIA,HORA
31046,07/02/2023,14:30
31047,07/02/2023,14:30
31048,07/02/2023,14:30
31049,07/02/2023,14:30
31071,07/02/2023,14:30
31072,07/02/2023,14:30
31073,07/02/2023,14:30
31074,07/02/2023,14:30
31075,07/02/2023,14:30
31076,07/02/2023,14:30
31077,07/02/2023,14:30
31078,07/02/2023,14:30
31079,07/02/2023,14:30
31081,07/02/2023,14:30
31082,07/02/2023,14:30
31083,07/02/2023,14:30
31084,07/02/2023,14:30
31085,07/02/2023,14:30
31086,07/02/2023,14:30
31087,07/02/2023,14:30
31088,07/02/2023,14:30
31089,07/02/2023,14:30
31101,07/02/2023,14:30
31102,07/02/2023,14:30
31103,07/02/2023,14:30
31104,07/02/2023,14:30
31105,07/02/2023,14:30
31106,07/02/2023,14:30
31107,07/02/2023,14:30
31108,07/02/2023,14:30
31109,07/02/2023,14:30
31111,07/02/2023,14:30
31112,07/02/2023,14:30
31113,07/02/2023,14:30
31114,07/02/2023,14:30
31115,07/02/2023,14:30
31116,07/02/2023,14:30
31117,07/02/2023,14:30
31118,07/02/2023,14:30
31119,07/02/2023,14:30
31131,07/02/2023,14:30
31132,07/02/2023,14:30
31133,07/02/2023,14:30
31134,07/02/2023,14:30
31135,07/02/2023,14:30
31136,07/02/2023,14:30
31171,07/02/2023,14:30
31172,07/02/2023,14:30
31173,07/02/2023,14:30
31174,07/02/2023,14:30
31175,07/02/2023,14:30
31176,07/02/2023,14:30
31191,07/02/2023,14:30
31192,07/02/2023,14:30
31193,07/02/2023,14:30
31194,07/02/2023,14:30
31195,07/02/2023,14:30
31196,07/02/2023,14:30
31197,07/02/2023,14:30
31198,07/02/2023,14:30
31199,07/02/2023,14:30
31201,07/02/2023,14:30
31202,07/02/2023,14:30
31203,07/02/2023,14:30
31204,07/02/2023,14:30
31205,07/02/2023,14:30
31206,07/02/2023,14:30
31211,07/02/2023,14:30
31212,07/02/2023,14:30
31214,07/02/2023,14:30
31215,07/02/2023,14:30
31217,07/02/2023,14:30
31218,07/02/2023,14:30
31221,07/02/2023,14:30
31222,07/02/2023,14:30
31223,07/02/2023,14:30
31224,07/02/2023,14:30
31225,07/02/2023,14:30
31226,07/02/2023,14:30
31227,07/02/2023,14:30
31228,07/02/2023,14:30
31229,07/02/2023,14:30
31231,07/02/2023,14:30
31232,07/02/2023,14:30
31233,07/02/2023,14:30
31234,07/02/2023,14:30
31235,07/02/2023,14:30
31236,07/02/2023,14:30
31237,07/02/2023,14:30
31238,07/02/2023,14:30
31239,07/02/2023,14:30
31251,07/02/2023,14:30
31252,07/02/2023,14:30
31253,07/02/2023,14:30
31254,07/02/2023,14:30
31255,07/02/2023,14:30
31256,07/02/2023,14:30
31271,07/02/2023,14:30
31272,07/02/2023,14:30
31273,07/02/2023,14:30
31274,07/02/2023,14:30
31275,07/02/2023,14:30
31276,07/02/2023,14:30
31277,07/02/2023,14:30
31278,07/02/2023,14:30
31279,07/02/2023,14:30
31281,07/02/2023,14:30
31284,07/02/2023,14:30
31287,07/02/2023,14:30
31311,07/02/2023,14:30
31312,07/02/2023,14:30
31313,07/02/2023,14:30
31314,07/02/2023,14:30
31315,07/02/2023,14:30
31316,07/02/2023,14:30
31317,07/02/2023,14:30
31318,07/02/2023,14:30
31319,07/02/2023,14:30
31331,07/02/2023,14:30
31334,07/02/2023,14:30
31341,07/02/2023,14:30
31342,07/02/2023,14:30
31343,07/02/2023,14:30
31344,07/02/2023,14:30
31345,07/02/2023,14:30
31346,07/02/2023,14:30
31347,07/02/2023,14:30
31348,07/02/2023,14:30
31349,07/02/2023,14:30
31361,07/02/2023,14:30
31362,07/02/2023,14:30
31363,07/02/2023,14:30
31364,07/02/2023,14:30
31365,07/02/2023,14:30
31366,07/02/2023,14:30
31367,07/02/2023,14:30
31368,07/02/2023,14:30
31369,07/02/2023,14:30
31411,07/02/2023,14:30
31412,07/02/2023,14:30
31413,07/02/2023,14:30
31414,07/02/2023,14:30
31415,07/02/2023,14:30
31416,07/02/2023,14:30
31417,07/02/2023,14:30
31418,07/02/2023,14:30
31419,07/02/2023,14:30
31441,07/02/2023,14:30
31442,07/02/2023,14:30
31443,07/02/2023,14:30
31444,07/02/2023,14:30
31445,07/02/2023,14:30
31446,07/02/2023,14:30
31447,07/02/2023,14:30
31448,07/02/2023,14:30
31449,07/02/2023,14:30
31451,07/02/2023,14:30
31452,07/02/2023,14:30
31453,07/02/2023,14:30
31454,07/02/2023,14:30
31455,07/02/2023,14:30
31456,07/02/2023,14:30
31457,07/02/2023,14:30
31458,07/02/2023,14:30
31459,07/02/2023,14:30
31461,07/02/2023,14:30
31462,07/02/2023,14:30
31463,07/02/2023,14:30
31464,07/02/2023,14:30
31465,07/02/2023,14:30
31466,07/02/2023,14:30
31467,07/02/2023,14:30
31468,07/02/2023,14:30
31469,07/02/2023,14:30
31501,07/02/2023,14:30
31502,07/02/2023,14:30
31503,07/02/2023,14:30
31504,07/02/2023,14:30
31505,07/02/2023,14:30
31506,07/02/2023,14:30
31511,07/02/2023,14:30
31512,07/02/2023,14:30
31513,07/02/2023,14:30
31514,07/02/2023,14:30
31515,07/02/2023,14:30
31516,07/02/2023,14:30
31517,07/02/2023,14:30
31518,07/02/2023,14:30
31519,07/02/2023,14:30
31541,07/02/2023,14:30
31542,07/02/2023,14:30
31544,07/02/2023,14:30
31545,07/02/2023,14:30
31547,07/02/2023,14:30
31548,07/02/2023,14:30
31591,07/02/2023,14:30
31592,07/02/2023,14:30
31594,07/02/2023,14:30
31595,07/02/2023,14:30
31597,07/02/2023,14:30
31598,07/02/2023,14:30
31631,07/02/2023,14:30
31632,07/02/2023,14:30
31633,07/02/2023,14:30
31634,07/02/2023,14:30
31635,07/02/2023,14:30
31636,07/02/2023,14:30
31637,07/02/2023,14:30
31638,07/02/2023,14:30
31639,07/02/2023,14:30
31641,07/02/2023,14:30
31642,07/02/2023,14:30
31643,07/02/2023,14:30
31644,07/02/2023,14:30
31645,07/02/2023,14:30
31646,07/02/2023,14:30
31647,07/02/2023,14:30
31648,07/02/2023,14:30
31649,07/02/2023,14:30
31651,07/02/2023,14:30
31652,07/02/2023,14:30
31653,07/02/2023,14:30
31654,07/02/2023,14:30
31655,07/02/2023,14:30
31656,07/02/2023,14:30
31657,07/02/2023,14:30
31658,07/02/2023,14:30
31659,07/02/2023,14:30
31661,07/02/2023,14:30
31662,07/02/2023,14:30
31664,07/02/2023,14:30
31665,07/02/2023,14:30
31667,07/02/2023,14:30
31668,07/02/2023,14:30
31681,07/02/2023,14:30
31682,07/02/2023,14:30
31683,07/02/2023,14:30
31684,07/02/2023,14:30
31685,07/02/2023,14:30
31686,07/02/2023,14:30
31687,07/02/2023,14:30
31688,07/02/2023,14:30
31689,07/02/2023,14:30
31701,07/02/2023,14:30
31702,07/02/2023,14:30
31703,07/02/2023,14:30
31704,07/02/2023,14:30
31705,07/02/2023,14:30
31706,07/02/2023,14:30
31707,07/02/2023,14:30
31708,07/02/2023,14:30
31709,07/02/2023,14:30
31711,07/02/2023,14:30
31712,07/02/2023,14:30
31713,07/02/2023,14:30
31714,07/02/2023,14:30
31715,07/02/2023,14:30
31716,07/02/2023,14:30
31717,07/02/2023,14:30
31718,07/02/2023,14:30
31731,07/02/2023,14:30
31732,07/02/2023,14:30
31733,07/02/2023,14:30
31734,07/02/2023,14:30
31735,07/02/2023,14:30
31736,07/02/2023,14:30
31737,07/02/2023,14:30
31738,07/02/2023,14:30
31739,07/02/2023,14:30
31751,07/02/2023,14:30
31752,07/02/2023,14:30
31753,07/02/2023,14:30
31754,07/02/2023,14:30
31755,07/02/2023,14:30
31756,07/02/2023,14:30
31757,07/02/2023,14:30
