CELLID,NODEBID,COD RF,NODEBNAME,RNC,Estado,Región RF,Region Comercial,Latitud,Longitud
31366,3136,1228,Carora Centro,BTO,Lara,Central,Centro Occidente,10.175436,-70.082986
31367,3136,1228,Carora Centro,BTO,Lara,Central,Centro Occidente,10.175436,-70.082986
31368,3136,1228,Carora Centro,BTO,Lara,Central,Centro Occidente,10.175436,-70.082986
31369,3136,1228,Carora Centro,BTO,Lara,Central,Centro Occidente,10.175436,-70.082986
31411,3141,4105,Cumana,LCH,Sucre,Oriente,Oriente,10.460769,-64.167164
31412,3141,4105,Cumana,LCH,Sucre,Oriente,Oriente,10.460769,-64.167164
31413,3141,4105,Cumana,LCH,Sucre,Oriente,Oriente,10.460769,-64.167164
31414,3141,4105,Cumana,LCH,Sucre,Oriente,Oriente,10.460769,-64.167164
31415,3141,4105,Cumana,LCH,Sucre,Oriente,Oriente,10.460769,-64.167164
31416,3141,4105,Cumana,LCH,Sucre,Oriente,Oriente,10.460769,-64.167164
31417,3141,4105,Cumana,LCH,Sucre,Oriente,Oriente,10.460769,-64.167164
31418,3141,4105,Cumana,LCH,Sucre,Oriente,Oriente,10.460769,-64.167164
31419,3141,4105,Cumana,LCH,Sucre,Oriente,Oriente,10.460769,-64.167164
